Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
SK 114,projector not projecting,0,0
SK 114,projector shut off,0,0
GB 220,login,0,0
CR 404,panel not responding,0,0
CR 404,not getting any image,0,1
BA 1210,already solved,0,0
BA 1190,image  unstable,0,1
SK 222,"unable to adequately explain the problem, but boils down to to ""it's not like it is in sk 111 and something is missing""",0,0
SS 2135,can't figure out if the keyboard is on or off,0,1
HS 610,no image on preview screen,0,0
BA 2195,enable,0,0
BL 205,would like captions for your powerpoint ,0,1
LM 161,enable,0,0
LM 162,enable,0,0
MP 203,batteries,0,1
SK 346,kyle asking for an enable,0,0
GB 244,crestron screen frozen,0,1
OI 5260,projector not turning on,0,0
BA 1170,batteries,0,0
BA 1130,keyboard not working,0,1
BA 1130,lady says powerpoint is broken.,0,0
SK 418,no image,0,0
BA 1130,matt,0,0
UC 179,projectors aren't turning on,0,1
MY 420,displays not displaying,0,0
AH 100,"""hi we're tryna get the ... uh...never mind we figure it out""",0,0
MS 3153,asking about an adapter delivery,0,0
GB 244,"""can you turn on the projector""",0,0
LM 155,"""i'm just trying to get the...oh never mind we're good""",0,0
SS 2117,needs batteries for keyboard,0,1
BA B025,"""how do i log into the podium?""",0,0
BA 2195 ,can't turn on projector/can't find remote,0,1
HS 106,(c) login with av booking.,0,0
SK 720,already solved,0,0
OI 5150,room pc shows a blue screen. pc is confirmed on.,0,1
HS 108,how to get screen down,0,0
WI 523,login.,0,0
WI 523,how to mirror displays on macos big sur v11.14.,0,0
OI 2279,"""hi, can you turn on the projector please""",0,0
SF 1105,"""the touchscreen isn't coming on""",0,0
CR 404,"""can you switch to the hdmi""",0,1
SK 218,"""hi there, we just had a fire drill, the station went off and it's not coming back on""

looks at my end like the teaching station is on - i can switch between inputs in the xpanel.",0,1
SK 702,"same issue: fire drill, came back, station not working.

looked at my end like the teaching station is on - i can switch between inputs via the xpanel",0,1
SK 418,instructor says she can't get her image up on the big screen,1,1
CR 103,"""hi, it cleaned itself up, thank you so much!""",0,0
GB 244,"""hi can you please log me in, this keyboard is not very responsive""",1,0
MC 252,how do you unmute podium mic,0,0
BR 200,"the wireless keyboard isn't working, it's one with a built-in touchpad.",0,0
OI 4418,tsjr not responding,0,1
MY 430,"""hi can you log me into the system""",0,0
MR 6,tm e crash,0,0
MS 2170,battery request,0,1
OI 2198,no image,0,0
HI CART,keyboard not working,0,1
MS 3153,"wireless lav not working, says he needs it, seems legit

he says the power is on for the lav pack, he uses it every week, and the podium mic is working

he suspects ""the settings have been changed"", but that's hard for me to verify

steve: ""something tells me the channels off. people change the buttons""",0,1
SF 1105,"touchscreen not turning on for him. can we send someone to the room?

i got him to feel around behind the touchscreen monitor. he said: ""i pressed the button, and something came on, but then it disappeared""

so it could be something simple. but it could also be something more complicated - i'm not sure",1,1
OI 4418,"""thanks for the help"" but also, how do you turn the projector off? ",0,0
SF 1105,"""i'm not able to log off remotely""",0,0
UC A101,"""i'd like to show my image on the displays""

she couldn't get her image up. i tried a bunch of things remotely (on-off, mute/unmute, etc.), but could only get 5 of the 6 tvs working.
",1,0
SF 1105,touchscreen not responsive,0,0
SK 720,"projector not turning on. everything seems on, on my end .",0,1
OI 4418,the powerpoint machine is broken,0,1
WB 119,"says projector isn't turning off, either with buttons or by logging off

she needs to use the blackboard - the projector being on is blocking her from doing that.",1,1
RW 110,"image on preview, no image on screen",0,0
UC 65,"no image, adapter may be damaged",0,1
RW 110,"claims that he keeps losing image - switching away from hdmi 2, then back again, seems to have fixed it",0,0
SS 1069,no image,0,0
ES 1050,w/l mic missing,1,0
SF 1105,"no audio, mid-class so doesn't want to resolve remotely. ",1,0
MR 6,tm e crash,0,0
MY 420,all the tvs just turned off in the middle of my class,0,0
OI 5260,"the projector shut off, turned back on but no image",0,1
BL 538,no image,0,0
MY 430,"needs help, looks like he's tampering with the hdmi's for the tvs",0,1
MY 330,login,0,0
GB 248,prof wanted us to know the podium screen has not been working for weeks. class is already done for the day,1,0
ES 1050,asking if there's a w/l mic,0,1
SS 2127,no image,0,0
MS 3153,didn't know how to use the podium,0,0
SS 1078,not projecting,0,1
MS 3153,tapping noise coming out of the speakers and everything is muted,0,1
BA 2175,no power on the podium,0,0
BA 2175,not projecting,0,1
GB 303,"can't get touchscreen on, it's worked for him every week in the past.",0,1
BA 2155,some of the whiteboards are covered in permanent marker.,0,0
MS 2173,wants the handheld they ordered.,0,1
MY 317,they just got it.,0,0
BA 1160,reporting someone left their airpods in the room and asking what to do.,0,0
MS 2170,wireless lav out of batteries,0,1
WB 119,ta login.,0,0
ES 1050,"says w/lav is missing, gave him a list of places to check but he says ""no dice"", it's an h5 in there

i told him we'd try to deliver a replacement, but to use the podium mic in the meantime

",0,1
WI 1016,"""where do i find chalk""",0,0
SK 218,"""i'm trying to turn on the projector, but it's not coming on""",0,0
MS 3153,"wlav not working, podium mic not working",0,0
OI 10200,wants oi 10204 reset.,0,0
MR 6,operator app kept ringing after picking up a call.,0,0
BA 1190,ta login,0,0
SK 702,how to bring the projection screen down.,0,0
SS 1069,"""can can you please log me in""",0,0
OI 2212,wants to know if there is anything to know for their guest speaker next week.,0,0
UC 144,"trying to get audio up from a zoom call - zoom participants could hear them, but they couldn't get the sound working over the in-room speakers",0,0
BA 1210,neither microphone is working.,0,0
MY 360B,"""hi can you log me into the crestron please""",0,0
GB 248,projector wasn't working.,1,0
LM 162,"""hi i'm running late, can you log me in today""",0,0
SK 720,needs a dongle for their 2017 macbook air.,0,1
BA 1220,no hdmi 2 image on projector.,1,0
ES 1050,wants to get the lav going,1,0
OI 5170,how to use the projector.,0,0
VC 212,"""hey, i don't need you, sorry""",0,0
BA 1160,ta login.,0,0
UC 140,thunderbolt dongle is gone.,0,1
UC 140,found the thunderbolt dongle on the floor.,1,0
OI 2205,"monitor shows ""no signal"" after unmuting the display.",0,0
ES 1050,røde mic out of battery.,0,1
BA 1130,screen was blank but working.,1,0
ES 1050,røde mic is working now. they held the power button.,0,0
MY 440,pressing a character on the touchscreen keyboard produces a quotation mark after each character.,1,0
BA 1200,hdmi 1 is showing up on the preview but not the projector. room pc shows up fine on the projector.,0,1
BA 1200,technician hasn't showed up yet.,0,0
GB 244,"can't get image up

he's trying to use an hdmi device, but when i sent room pc to projector, he said ""nothing is on the big screen""",0,0
OI 2205,"couldn't get sound from their laptop, alexr walked her to her sound settings, someone in room helped  switch her over",0,1
SK 346,"""can you turn the projector on, please""

had to disable & reenable to get the projector on, but it looks like that's working

non-technical user is having trouble getting her image up, though. i can't tell whether to trust that she's plugged into vga - she claims she's using a ""vga connector""

""i'm hitting all the buttons, and nothing's happening"" 

instructor needs to be told what button to press for her adapter.
",0,1
OI 2205,"display is showing ""no signal"".",0,0
OI 4426,projector is showing nothing at all.,0,1
SS 2105,"can't get image up. says it's worked for them in this room before, with same device.

i unmuted video mute remotely, clicked on hdmi remotely, and got them to unplug & replug the adapter at both ends. no dice
",0,1
OI 5160,how does the screen come down.,0,0
SF 1101,projector froze and doesn't follow the ipad image.,0,0
MY 440,no laptop hdmi image on the displays. neither hdmi nor source worked.,0,1
MS 3153,wireless mic isn't working. beltpack light indicator is green.,0,1
SK 346,wasn't projecting,0,0
SK 218,projector not working.,0,0
SK 100,not projecting,0,1
WW 120,not projecting,0,1
OI 3310,wanted info about wifi ,0,0
HS 610,calling from another room telling us the room they're in is completely offline and they need mics,0,1
BL 313,trouble projecting,0,1
WO 35,log in request,0,0
MR 6,tm e populates occs log,0,0
SS 1070,enable,0,0
MS 2173,enable,0,0
ES B149,mouse has fallen in station,0,1
WI 523,how do you turn on the monitor? ,0,0
SS 2114,image not projecting,0,0
UC A101,no image,1,0
WI 523,no audio,0,0
SK 348,video not projecting,0,0
Bl 114,projector not turning on,0,1
ES 1050,nick testing,0,0
SS 2105,no image,0,1
416-205-9536,asking for an adapter for a room we don't service,0,0
MS 2158,"""it's too hot in here""",0,0
MY 360B,one monitor not working - first one on left when you enter the room,1,0
OI 8280,wants projector on (called via phone),0,0
BA B024,wanted to move pdf over to projector,0,0
BL 507,needs a lightning to hdmi adapter,0,1
SS 2135,room pc displaying black,0,1
OI 8200,projector not projecting,0,0
OI 3310,hdmi broken in room,1,0
UC 144,already solved,0,0
UC 144,sound not sending to projector,0,0
SS 1078,amy arrived when call came in,0,0
BA B024,"having issues sending to projector (not technical, only lack of knowledge)",0,1
MS 3278,apparently an adapter was dropped off last class and it is no longer there and asking if we can bring another,0,1
GB 220,login,0,0
VC 212,no image,0,1
BA 2159,enable,0,0
SK 222,already solved,0,0
GB 221,projector won't turn off,0,1
AH 400,projector won't turn on,0,0
WI 523,projector turning on and off,0,1
SK 100,ipad not projecting ,0,0
BA 2175,"""how do you log in?"" ",0,0
WB 130,"""i thought that was the on button""",0,0
WO 20,enable,0,0
BA 1160,wireless lav is missing,0,1
AH 400,"class is done, projector needs to be shut off",0,1
OI 4410,no power to tsjr,0,0
LM 158,log in request,0,0
MY 490,login,0,0
OI G162,help locating the light switches,0,1
SS 2101,asked about a shortcut for their mac,0,0
OI G162,how do you close the curtains?,0,0
OI G162,needed help w the curtains,0,1
SS 1070,needed help projecting,0,0
LM 159,clip on mic needs batteries,0,1
BA 2145,login,0,0
SF 1101,sound is muffled,0,0
HS 610,marc testing intercom,0,0
MY 350,needs a tech for a re-occuring issue every week,0,1
MS 2158,batteries,0,1
ES B149,letting us know to pick up the zoom bar for 8pm when they're class ends,1,0
ES B149,letting us know the zoom bar is ready,0,0
NL 6,asked for login - has never used in-room av gear before. they're holding a panel.,0,0
OI 5170,can't get audio up from zoom to room speakers,0,0
BA B024,"can't get his image up from hdmi.

says that it's worked forh im in there before, but that he has trouble every week

he's already tried unplugging & replugging hte cable several times",1,1
OI 2212,"both w/lav batteries are out of charge, can we bring replacements",0,1
MP 203,wireless batteries,0,1
SS 1070,projector not on,0,0
PB B150,powerpoint presenter view in one screen and slides on another screen,0,0
SS 2101,screen won't turn on,0,0
BL 325,he's ok,0,0
CR 404,station isn't turning on,0,1
WB 116,resolved,0,0
WI 1016,"wireless mic no sound, making noise",0,1
AP 120,system powering up,0,0
CR 404,"""are you able to turn on the projector for me""",0,0
BA 1190,asking to be logged in,0,0
LM 161,"""can you log me in""",0,0
SS 1072,station isn't turning on,0,0
MY 360A,he is asking for a second hdmi to usb-c dongle for some testing with a second laptop for next week,0,1
OI 2198,asking to be logged in,0,0
WW 126,"no hdmi on projector screen, room pc works fine",1,1
MP 102,batts,0,1
LM 155,teaching station not working; does not know how to use portable ,0,1
WB 119,log in ,0,0
LM 155,same issue as line 88,0,0
BL 325,connect to projector,0,0
BA 1130,batts,0,1
MR 6,"andrew v. has the rode go mic he was told to by the ca to return it to  uc 177, but there's a classroom there ",0,1
SS 1071,"""malfunction""",0,0
PB B150,can't see the word doc on the projection screen (best guess at what their issue is).,0,0
OI 2212,lost microphone and projector use.,0,1
BA 2165,after hours call,0,0
BA 1190,need extended display for ppt,0,0
BA 1240,enable,0,0
OI 2212,enable,0,0
BA 2159,enable,0,0
CR 103,enable,0,0
OI 8280,power on station,0,0
WO 20,engage,0,0
BL 114,engage,0,0
AB 107,can you log me in pls,0,0
HS 108,volume not coming through the speakers,0,1
LM 155,"she's getting ""check in the input terminal""

everthing looks correct at my end, hdmi is selected

asked her to do windows-p duplicate, didn't fix it

she says it's worked for her with same device in same room in the past
",1,1
WW 119,resolved,0,0
GB 304,engage,0,0
BF 316,engage,0,0
BF 214,en,0,0
WE 75,engage,0,0
BL 116,"login, wanted guest password",0,0
OI 5260,no power from projector,0,1
MS 2173,"""hi, can you log me in please""",0,0
MS 2173,projector not on,0,0
OI 8214,system asleep,0,0
MS 2173,no display,0,0
RW 142,no image. it usually works in this room with this device.,0,0
SS 2114,unsure of which cable to use,0,0
OI 2214,portable not hooked into projector?,0,1
BA 2195,"""hello, could you log me in remotely, please?""",0,0
MY 480,"""hi, could you please turn on the teaching station please""",0,0
GB 304,engage,0,0
SS 2108,hdmi no input signal,1,1
OI 4418,"can't get image up, first time using a windows laptop in this room

projector seems to be on, i tried switching inputs back & forth

windows-p duplicate didn't do it either",0,1
LM 161,engage,0,0
LM 162,"""can you log me in please?""",0,0
AP 124,no audio,0,1
GB 221,"can you quietly drop off aa batteries on the teaching station?

she's starting class with the podium mic, but she'd like us to drop off aas for the lav
",0,1
KP 113,"""projector isn't coming on"" - looks remotely like it *is* on",0,0
OI 5260,projector out of synch again,0,1
MY 490,"""the teaching station was working, and it just went black""",0,0
MS 2173,frozen touchscreen,1,0
MS 2173,frozen touchscreen,0,1
AH 400,"projector isn't coming on for her.

send to projector makes it look like's coming on, but it ",0,1
UC A101,neither hdmi nor doc cam cable is working,1,1
AH 400,buzzing in again to say that she got the projector up & running,0,0
WE 76,tv not coming on,0,0
UC 256,"""the projector isn't turning on""",0,0
MS 2170,"""our utorids are not working, can you please log us in?""",0,0
BA B025,how do i lower the projection screen?,0,0
SS 2108,"
can't get her image up

i remotely disabled & re-enabled, but projector stayed on

but her image isn't going up

might be something simple with her laptop. but because projector seems to have lost sync in some way, sending someone to the room",1,1
OI 5150,"""i've rebooted the pc, but it's still just showing a blue image""

tried changing inputs, didn't fix

tried sending to projector, that got image up",0,1
MY 330,log in request and letting us a couple of the monitors don't work in their room,1,1
OI 5150,"she called back, having trouble getting her image up on the big screen from her laptop now. both hdmi cables seem to have issue, not holding signal",0,1
WI 523,log in request,0,0
BA B025,figured it out,0,0
OI G162,says he can't find the glx charger next to the room pc. ,0,1
MY 330,request for login,0,0
GB 120 ,trouble projecting,0,1
OI 5150,letting us know they are done with the adaptor,0,0
SS 1088,letting us know they are done with the mic,0,0
BA 2139,overnight call,0,0
BA 1230,overnight call,0,0
MS 2322K ,asking where speaker setup was,0,0
CR 403,instructor says that the teaching station is not switching over to hdmi. contacted smc. ,0,0
CR 403,called back to say it was fixed. ,0,0
SS 1087,no preview image. sent nick,0,1
OI 2279,called asking for ts to be enabled.,0,0
MY 330,login,0,0
BA 2179,not enabled,0,0
OI 2296,no image,0,1
CR 404,turn on hdmi please,0,0
OI 2286,projector won't turn on,0,1
OI 5290,prof has a windows laptop with usb 2.0 out,1,1
UC 175,projector isn't turning on,0,1
BA 2135,can't seem to navigate extended desktop ,0,1
OI 4426,no image,0,1
MR 6,pc restart,0,0
AH 107,projector on,0,0
,projector on,0,0
MY 360B,log in,0,0
MY 430,login,0,0
BA 1190,room pc audio wasn't playing through speakers,0,0
PB B250,log in failed,0,0
MY 420,two of the student monitors showed no input,1,1
MY 350,desktop pc not working and guest lecturer needs it,0,1
UC 53,no image hdmi,0,0
BL 113,monitor isn't turning on,0,1
LM 161,audio not playing on speakers,0,0
UC A101,no image,0,1
PB B250,log in failed,0,0
MS 3290,647-580-7891 needs help with zoom settings,0,0
SK 720,projector not turning on,0,1
MY 350,room pc not connected to station,0,1
SK 222,"it isn't connecting to hdmi. 
they tried two laptops",0,1
MS 3154,wanted to know hwo to set up presenter mode,0,0
BA 2155,unable to login,0,0
SF 1105,says no image and projector not on (projector is definitely on),0,1
SS 2106,already solved,0,0
UC 65,no audio,0,0
MC 252,zoom guest isn't being heard in the room speakers. they're only being heard through the room pc speaker,0,1
SS 1069,already solved,0,0
OI 4418,projector turning on/off and can't get it back on,0,1
SF 1105,same issue as above,0,0
SS 2101,tdm not responding,0,0
UC 179,"projectors on, but system logged off",0,0
BA 1180,"projector not showing image from room pc, hdmi, etc.",1,1
MC 252,room pc not working,0,0
MS 3153,wanted to make sure occs was working,0,0
PB B250,log in,0,0
MY 420,all the tv's shut off,0,0
BL 305,usb 3.0 to hdmi adapter needed,0,1
SK 346,not projecting ,0,1
SK 346,problem was solved,0,0
MS 2158,already solved,0,0
WB 130,zoom ,0,0
SS 2127,wifi issue,0,1
BL 312,resolved,0,0
UC 261,projector not working ,0,0
MS 2173,mic not working,0,1
OI 5240,not projecting,0,1
BA 2165,wanted to get logged back in,0,0
BA B025,wanted access,0,0
OI G162,can i lower the screen?,0,0
MY 430,can't get airmedia to work and a display is blanking out,0,1
SS 2118,"projector screen is stuck in a ""half up postition""",0,1
UC A101,student laptop not able to present to screens,1,0
BA B024,resolved,0,0
SS 2117,amy/albert updating about power in this room and ss 2118,0,0
UC 261,projector ,0,0
ES 1050,batteries,0,1
SS 2105,no image,0,1
WB 119,log in,0,0
KP 108,misclick,0,0
MR 6,tm restart frozen,0,0
SS 2105,lost image,0,1
ES 4000,"no image, tried 3 devices",0,1
GB 244,no image,0,0
OI 2199,calling for 2212 regarding help at 11,1,0
UC A101,mouse out of batteries,0,0
SS 1069,already solved,0,0
SS 1087,"log in, no image",0,0
AH 400,projector off,0,1
UC 256,already solved,0,0
BA 1200,login,0,0
AP 120,no power ,0,0
SF 2202,projector not turning on,0,0
AH 107,enable,0,0
SK 346,projector won't turn on,0,1
TF 102,looking for an extension cord,0,0
LM 162,login,0,0
MY 360B,login,0,0
SS 2111,projector,0,0
MB 128,batteries,0,0
SK 720,no image,0,1
SS 2127,"no image, projector is unresponsive",0,1
BL 114,how to turn projector on? ,0,0
BR 200,login,0,0
MY 330,login,0,0
SS 1087,touchscreen off,0,1
BA 2139,projector won't turn on,0,1
BA 1130,"podium mic making distracting crackling noises. not urgent, using wireless mic",1,0
AB 107,log on,0,0
SK 114,already solved,0,0
MS 3153,can't get desktop pc audio to work in class. ,0,1
CR 403,usb-c to hdmi dongle,0,1
PB 850,doesn't know how to access system,0,1
UC 179,fanny pack with batteries left,0,1
UC 65,can't find power outlet,0,1
SK 100,already resolved,0,0
SK 218,projector isn't turning on,0,1
BA 1160,already solved,0,0
BL 312,already solved,0,0
SS 1087,no answer,0,0
BA 1190,batteries,0,1
BA 1200,enable,0,0
BA B025,screen controls,0,0
MY 317,air media problem.  does not want to connect,0,1
OI 4422,sound problems w/ zoom,0,1
BA 2155,wanted hdmi cables for student inputs. sent nick.,0,1
BF 214,touchscreen black.,0,1
MS 2173,having trouble logging in,0,0
SK 348,no image,0,1
OI 4426,enable.,0,0
OI 4422,touchscreen showing rebooting screen.,0,1
UC 261,projector not turning on,0,1
MY 440,having trouble connecting various student tables to screens,0,1
SS 2110,turn projector on. not turning on with teaching station controls.,0,0
OI G162,both glx batteries dead,0,1
HS 705,display not turning on,0,0
SK 218,can't duplicate desktop.,0,0
PB 255,figured out the projector.,0,0
SK 346,turn on the projector.,0,0
BL 507,"visuals, but no audio",0,1
BL 116,no macbook image with usb-c dongle.,0,1
SS 2106,projector is not on.,0,0
UC 179,no laptop hdmi image on the preview nor projector.,1,0
SF 1105,already solved,0,0
TF 201,re-enable,0,0
VC 212,no image,0,1
VC 212,resolved the problem herself,0,0
SS 2105,teaching station controls don't turn the projector on.,0,0
GB 220,login.,0,0
UC 161,login.,0,0
CR 403,teaching station controls don't turn the projector on.,0,0
BA 2159,turn on the projector.,0,0
Wi 523,no/dropping image,0,1
SS 2110,can't get the projector going.,0,0
HS 108,trouble logging in.,0,0
HS 108,figured out send to projector.,0,0
SS 2106,"they say projector is off, all my tools say it is on",0,1
MY 330,wants an in-person assist for a first time user.,0,1
BA 2155,needs usb-c to hdmi adapter,0,0
HS 106,no image,0,0
SS 1071,(c) booking login w/ av booking.,0,0
BA 2155,wants to borrow the dongle for their next class in ba 2145 as well.,0,1
MY 490,login request,0,0
BA 2145,checking in regarding the borrowed dongle.,0,0
MY 490,displays are green,0,1
AH 107,buttons on the teaching station don't work.,0,0
MC 254,room pc screen blue,0,1
CR 404,log in request,0,0
MS 2158,double a batteries,0,1
BA 2145,wasn't projecting,1,0
BA 1130,telling us the station has shut down and we should log them off,0,0
TF 200,log in request,0,0
HS 106,log in request,0,0
HS 106,wasn't projected,0,0
WW 120,screens aren't showing for them,0,1
BA 2145,station was frozen,0,0
BA 1220,"""we want to practice our capstone presentation for a class that starts at 9am, can you log us in?""",0,0
BR 200,"""oh sorry, i just hit the button with my elbow""",0,0
WB 219,"projectors not turning on with ""send to projector"", it worked for him as recently as yesterday

i don't have any remote xpanel access to this room, so i can't try to re-sync it myself

i explained to him how to try to re-sync it himself, while we have someone on the way
",1,1
MY 430,white board stuck in room,0,0
HS 696,"room was disconnected in fusion, rebooted using toolbox",0,0
WE 75,"room was disconnected in fusion, rebooted using toolbox",0,0
SS 2125,"room was disconnected in fusion, rebooted using toolbox",0,0
WB 219,"buzzed back to say he got the projector on, don't send someone",0,0
MY 430,calling back to ask when someone is coming to deal with the stuck whiteboard,0,0
RW 142,"seems like he's never used a full-size station before, he didn't know how to login or send to projector

spent 10 mins walking him through how everything works",0,0
UC 144,can you send someone to get the projection screen down?,0,0
LM 161,login,0,0
SS 1080,"""uh, we figured it out, thank you""",0,0
SS 1080,trying to get music playing over the system,0,0
BL 325,"says image keeps cutting out. he had same problem last week, but it's even worse this week. cable is very ""finicky"", he can't get it to sit right & hold image

i don't have remote xpanel access, so there's not much i can do from here

sounds like it could be a cable issue, or a dongle issue?

he's got a usb-c mac",0,1
MP 203,no network connection,0,0
MR 6,ians fixed broken xpanel shortcut for wb 116,0,0
MY 360B,"""can you help me log in?""",0,0
SS 1069,"""please let me in""",0,0
WB 219,left projector not turning on/needs wifi password,0,1
OI G162,login for kyle,0,0
LM 161,"""can you log me""?",0,0
CR 404,already solved,0,0
BA 1190,"""can you log me in, it says admin 12345678""",0,0
SF 3201,needs a hdmi cable,0,1
MY 360B,"""hi can you log me in pls?""",0,0
LM 162,"""hi can you please log me in""",0,0
UC 152,"""hi i'm wondering if i can get access to the monitor""",0,0
BA 1160,batteries,0,1
OI 5170,"""can you please log me in? i want to use my ipad""",0,0
UC 261,not working,0,0
OI 2279,no image,0,1
WB 119,login,0,0
LM 155,can you turn on the projector?,0,0
HS 100,no image,0,1
HS 100,projector randomly turned on. don't need to send anybody,0,0
UC 140,projector not turning on,0,0
MY 330,"requesting 3x hdmi cables, for student presentations",0,1
BA 1130,"having trouble logging in

says this happens ""all the time""",1,0
BA 1180,"""just calling to let you know that there are no more spare batteries for the wireless microphone""",1,0
MY 150,says they typically get an ipad dropped off,0,1
UC 261,"""we were having some trouble with the projector earlier, but it came on""",0,0
PB B250,"guest lecturer, showed up late, keeps on repeating ""i think it's not connecting""",0,0
MY 330,"""i had a problem but it's solved now""",0,0
HS 100,the projector just turned off randomly again. can you fix it please?,0,0
MY 480,needs help connecting laptops to individual screens,0,1
ES 4000,"""sorry i pressed the button.... wrong""",0,0
OI 2212,ts frozen during cool down phase,0,1
OI 2214,no answer,0,1
OI 5150,set up system,0,1
OI 8220,enabled,0,0
OI 5250,no projection on screen ,0,1
OI 5170,figured it out,0,0
SS 2102,no answer,0,1
SS 2119,enable?,0,0
BA 1230,no answer,0,0
BA 2135,enable?,0,0
OI 11200,enable this and 11204.  we're early but just want to set up.,0,0
OI 5240,enable,0,0
BA 1170,no answer,0,0
OI 8214,enable,0,0
SS 2105,requesting in person help,0,1
OI 5250,nothing on screen,0,0
OI 5250,could not get image on screen,0,0
OI 5160,projector not displaying,0,0
SK 346,enable,0,0
ES 1050,batteries,0,1
KP 113,enable,0,0
HS 108,enable,0,0
MR 6,tm e crash,0,0
OI 5260,no image,0,1
SS 1078,enable,0,0
SS 1086,enable,0,0
CR 103,projector not turning on,0,0
GB 304,login,0,0
UC 52,enable,0,0
BL 325,enable,0,0
CR 103,following up on tech support,0,0
EM 119,"""how do i turn this off?""",0,0
MS 2170,looking for volume controls,0,0
UC 177,projector not turning on,0,0
BA 2159,"turn on projector for jon, not turning on in class",0,0
MY 480,login,0,0
BA 2195,login,0,0
SS 1087,login,0,0
ES 4000,no image,1,1
ES 4000,asking where help was,0,0
SS 2106,want to know where they can return borrowed clicker to. ,0,0
GB 304,login,0,0
GB 120,ts doesn't seem like it's receiving any power,0,0
LM 161,login,0,0
LM 162,login,0,0
CR 103,tsjr nto responsing to any physical or remote control,0,1
MS 2158,no desktop pc,0,0
MS 2158,desktop pc not projecting,0,1
UC 85,tsjr not responding,0,1
UC 85,tsjr just started working,0,0
BL 313 ,tsjr nto responding. ,0,0
SS 2117,batteries,0,1
BL 313,projector not turning on,0,0
MS 2172,login,0,0
MY 420,only two of the tvs are turning on,0,1
WO 20,had a blue screen but she is ok now,0,0
NL 6,no audio from desktop pc,0,0
BA 2179,dock not responding,0,1
CR 103,st. mike's tech - can't get projector in sync,0,0
MR 6,tm e crash,0,0
MS 3153,batteries,0,0
LM 155,projector not turning on,0,1
WB 119,projector not turning on,0,1
MS 2172,needs adapter for surface pro,0,1
CR 406,no image,0,1
WI 523,enable,0,0
OI 5250,enable,0,0
MY 330,how do you open the mic cabinet?,0,0
SS 1088,"all done, equipment ready for pick up.",0,0
BL 327,showing as offline in fusion web app,0,0
BF 214,showing as offline in fusion web app,0,0
SK 218,showing as offline in fusion web app,0,0
OI 5160,showing as offline in fusion web app,0,0
HS 618,showing as offline in fusion web app,0,0
OI G162,no audio from room pc to big speakers,0,0
MC 254,"""i'm sorry, the green light just attracted me to press the button""",0,0
BA 1220,touchscreen not accepting touch input,0,1
OI 2279,enable,0,0
CR 404,"""can you hit the hdmi please."" claims that projector isn't on in class.",0,0
SK 222,pls turn monitor on,0,0
LM 155,dongle is loose. it's working now,0,0
PB B150,log in,0,0
WB 116,network connection not available,0,0
MY 430,log in,0,0
WE 74,resolved,0,0
BA 2179,no image,1,1
WO 20,"""someone is trying to call us back through this - tell them we don't need them""",0,0
CR 403,"""i don't have a question, i just want to say thank you for always helping me in cr"" from prof. jokel",0,0
SS 1086,how to lower projector screen?,0,0
RW 140,doc cam hasn't arrived yet,0,0
UC A101,3/6 monitors aren't showing the image.,0,1
PB B250,wifi is dodgy,0,0
FE 139,its working,0,0
WW 119,room pc not displaying,0,0
SK 720,can you send someone with a remote to sk 720?,0,1
CR 406,check input terminal,0,1
SS 2101,accidednt,0,0
MY 315,room pc is off. pressing power button did nothing,0,1
MY 420,4 of the student monitors turned off,0,0
SK 100,no control over projector; restarted controller,0,0
AH 107,log in request,0,0
WB 130,"needed zoom help, said someone last week helped them with it",0,1
UC 144,prof requested a dvd player,0,1
MS 2172,log in,0,0
BA 1130,"hdmi image not showing on crestron screen, but visible on projector screen",0,1
BA 2165,wasn't projecting sound,0,0
BA 1170,buzzing sound on podium mic,0,0
UC 144,calling about dvd player,0,0
UC 261,can't get the projector on,0,1
TF 200,power up teaching station,0,0
SK 720,not projecting ,0,0
CR 103,log in request,0,0
CR 103,says station isn't powered on,0,0
WE 75,room was disconnected in fusion,0,0
CR 103,asking for jr station to be turned on,0,0
BA 2155,want to use teaching station,0,0
SF 3201,"touchscreen is acting up. she's having trouble logging in, and i don't have any remote control over the station.",0,1
BA 1170,"w/lav needs batteries, no extras in room",0,1
MS 3154,two of the big screens isn't working,0,0
AH 100,ah 100 needs wireless mic batteries and a usb-c to hdmi dongle.,0,1
MS 3154,having trouble getting selecting lectern pc for preview,1,0
WB 119,log in,0,0
PB 850,"""sorry, it's the wrong button""",0,0
SK 346,"""we pressed the button 10 times, but the projector just came on & started working""",0,0
UC 256,mac laptop not connecting to projector screen,0,0
OI 2212,need spare battery,0,1
OI 2286,noticed that system power is off in fusion,0,0
SK 720,"says projector isn't coming on

at my end, it looks like it's on. but instructor says it's not on in the room. i was able to switch between vga and hdmi via the xpanel.

i tried remotely disabling and re-enabling, but the projector showed as remaining on in fusion the entire time.",0,1
WB 219,podium mic help,0,0
OI 8180,trouble connecting hdmi,0,1
OI 2212,two of the projectors just went out.,1,1
SF 2202,projector on,0,0
SS 1069,log in,0,0
MS 4279,projector turned off mid-class,0,0
WW 121,audio not playing through speakers,0,0
MY 360B,login request for tutorial,0,0
BA 1160,room is very cold,0,0
SS 2111,"says that audio from mic that was delivered to room is ""choppy""",0,1
OI 2205,turn on projector,0,0
MY 330,log in,0,0
LM 162,"""hi can you please log me in""",0,0
